,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
73,Cinderella,60,"['Jay Berriman', 'Kevin Crease', 'Ian Fairweather']",Not found,"NWS 9, Tynte Street, North Adelaide, Adelaide, South Australia, Australia",The Wonderful Story of Cinderella,0,"['Family', 'Fantasy']",Not found,Not found,Not found,,23 December 1962 (Australia)
74,Cinderella,120,"['Peter Baillie', 'Heather Begg', 'Janice Copland']",['Robert L. Allnutt'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm6897217/', 'name: Peter Baillie', '}', '{', '@type: Person', 'url: /name/nm0066717/', 'name: Heather Begg', '}', '{', '@type: Person', 'url: /name/nm11925014/', 'name: Janice Copland', '}', '{', '@type: Person', 'url: /name/nm11924908/', 'name: Diane Holmes', '}']",Not found,Not found,Not found,,12 May 1965 (Australia)
75,Cinderella,105,"['Lily James', 'Cate Blanchett', 'Richard Madden']",['Kenneth Branagh'],"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",Cinderella,1,"['Drama', 'Family', 'Fantasy', 'Romance']","$95,000,000
            ","$201,151,353","$542,351,353",PG,13 March 2015 (USA)
76,Cinderella,65,"['June Thorburn', 'John Fabian', 'Peter Sallis']",Not found,Not found,Not found,0,"['Drama', 'Family', 'Musical']",Not found,Not found,Not found,,26 December 1958 (UK)
77,Cinderella,120,"['Sally Ann Howes', 'Joy Nichols', 'Marten Tiffen']",Not found,Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0398141/', 'name: Sally Ann Howes', '}', '{', '@type: Person', 'url: /name/nm0629620/', 'name: Joy Nichols', '}', '{', '@type: Person', 'url: /name/nm1306816/', 'name: Marten Tiffen', '}', '{', '@type: Person', 'url: /name/nm0401323/', 'name: Jack Hulbert', '}']",Not found,Not found,Not found,,26 December 1950 (UK)
78,Cinderella - IMDb</title>,Not found,Not found,Not found,Not found,Not found,0,"['Drama', 'Fantasy', 'Romance']",Not found,Not found,Not found,,Not found
79,Cinderella,120,"['Anna Tysgankova', 'Matthew Golding']",['Jeff Tudor'],"Amsterdam, Netherlands",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm3669708/', 'name: Anna Tysgankova', '}', '{', '@type: Person', 'url: /name/nm4247416/', 'name: Matthew Golding', '}']",Not found,Not found,Not found,,2 May 2013 (UK)
80,Cinderella,Not found,"['John Gatrell', 'Margaret Carter', 'W.S. Percy']",Not found,Not found,Not found,0,"['Drama', 'Family']",Not found,Not found,Not found,,19 January 1937 (UK)
81,Cinderella,87,Not found,['Riccardo Corradi'],Not found,Not found,0,"['director: {', '@type: Person', 'url: /name/nm1388924/', 'name: Riccardo Corradi', '}', 'creator: [', '{', '@type: Person', 'url: /name/nm0180664/', 'name: Orlando Corradi', '}', '{', '@type: Organization', 'url: /company/co0084109/', '}', '{', '@type: Organization', 'url: /company/co0048904/', '}']",Not found,Not found,Not found,,1995 (Italy)
82,Cinderella,113,"['Mangesh Desai', 'Vinit Bonde', 'Janardhan Parab']",['Kiran Nakti'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm4369895/', 'name: Mangesh Desai', '}', '{', '@type: Person', 'url: /name/nm8063245/', 'name: Vinit Bonde', '}', '{', '@type: Person', 'url: /name/nm2001246/', 'name: Janardhan Parab', '}', '{', '@type: Person', 'url: /name/nm2509394/', 'name: Ganesh Mayekar', '}']",Not found,Not found,Not found,,Not found
