,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_mpaa_rating_number,FILM_stars1,FILM_stars2,FILM_stars3,FILM_directors1,FILM_directors2,FILM_directors3
2161,9829,Taboo,,,,,,,,,,,,,tt4938858,Taboo,108,"Drama,Romance",4894998.0,11018883.0,100,16,2003-11-02,71.06266666666667,0.5505133333333333,101.25,1093.0,,,,,,,
2162,9838,Tuck Everlasting,,,,,,,,,,,,,tt0081664,Tuck Everlasting,90,"Drama,Family,Fantasy",2943941.64,9038632.75,39,28,2016-04-03,50.55333333333334,0.7694444444444446,223.0,1161.0,,,,,,,
2163,9839,Tuck Everlasting,,,,,,,,,,,,,tt0283084,Tuck Everlasting,90,"Drama,Family,Fantasy",2943941.64,9038632.75,39,28,2016-04-03,50.55333333333334,0.7694444444444446,223.0,1161.0,,,,,,,
2164,9841,Urban Cowboy,,,,,,,,,,,,,tt0081696,Urban Cowboy,132,"Drama,Romance,Western",1288667.0,8361853.0,60,26,2003-03-02,54.28416666666667,0.2361166666666667,96.25,1160.0,,,,,,,
2165,9846,Urban Cowboy,,,,,,,,,,,,,tt4955762,Urban Cowboy,\N,Drama,1288667.0,8361853.0,60,26,2003-03-02,54.28416666666667,0.2361166666666667,96.25,1160.0,,,,,,,
2166,9847,On Golden Pond,,,,,,,,,,,,,tt0082846,On Golden Pond,109,Drama,2947551.0,8246574.0,93,19,2005-03-27,53.84285714285714,0.4582071428571428,91.25,1067.0,,,,,,,
2167,9848,On Golden Pond,,,,,,,,,,,,,tt0282040,On Golden Pond,100,Drama,2947551.0,8246574.0,93,19,2005-03-27,53.84285714285714,0.4582071428571428,91.25,1067.0,,,,,,,
2168,9849,Search and Destroy,,,,,,,,,,,,,tt0083040,Search and Destroy,92,"Action,Drama,Thriller",419612.0,0.0,46,22,1992-02-09,14.541111111111114,0.5843666666666666,,724.0,,,,,,,
2169,9850,Search and Destroy,,,,,,,,,,,,,tt0096063,Search and Destroy,99,Action,419612.0,0.0,46,22,1992-02-09,14.541111111111114,0.5843666666666666,,724.0,,,,,,,
2170,9851,Search and Destroy,,,,,,,,,,,,,tt0114371,Search and Destroy,90,"Action,Comedy,Drama",419612.0,0.0,46,22,1992-02-09,14.541111111111114,0.5843666666666666,,724.0,,,,,,,
2171,9857,Search and Destroy,,,,,,,,,,,,,tt11791146,Search and Destroy,93,Action,419612.0,0.0,46,22,1992-02-09,14.541111111111114,0.5843666666666666,,724.0,,,,,,,
2172,9871,Search and Destroy,,,,,,,,,,,,,tt7890546,Search and Destroy,\N,Comedy,419612.0,0.0,46,22,1992-02-09,14.541111111111114,0.5843666666666666,,724.0,,,,,,,
2173,9874,Timon of Athens,,,,,,,,,,,,,tt0083207,Timon of Athens,128,"Comedy,Drama",510164.0,0.0,39,16,1993-10-24,24.16857142857143,0.4382,,857.0,,,,,,,
2174,9876,Timon of Athens,,,,,,,,,,,,,tt1377387,Timon of Athens,89,Drama,510164.0,0.0,39,16,1993-10-24,24.16857142857143,0.4382,,857.0,,,,,,,
2175,9877,Timon of Athens,,,,,,,,,,,,,tt5664188,Timon of Athens,\N,Drama,510164.0,0.0,39,16,1993-10-24,24.16857142857143,0.4382,,857.0,,,,,,,
2176,9878,Timon of Athens,,,,,,,,,,,,,tt8209326,Timon of Athens,119,Drama,510164.0,0.0,39,16,1993-10-24,24.16857142857143,0.4382,,857.0,,,,,,,
2177,9880,Violet,,,,,,,,,,,,,tt0229830,Violet,\N,\N,6616618.0,14941231.0,128,27,2014-03-30,70.00400000000002,0.836065,,733.65,,,,,,,
2178,9881,Violet,,,,,,,,,,,,,tt0259723,Violet,105,Comedy,6616618.0,14941231.0,128,27,2014-03-30,70.00400000000002,0.836065,,733.65,,,,,,,
