,FILM_release_date
923,28 December 1976 (UK)
924,4 October 1931 (USA)
925,17 January 1998 (USA)
926,Not found
927,Not found
928,2021 (USA)
929,Not found
930,Not found
931,1 July 1932 (USA)
932,11 September 1932 (USA)
933,1987 (Finland)
934,Not found
935,8 April 2016 (Norway)
936,Not found
937,29 December 1933 (USA)
938,12 January 1934 (USA)
939,11 December 1989 (USA)
940,7 July 1933 (USA)
941,10 March 2017 (USA)
942,2017 (USA)
943,7 April 1933 (USA)
944,17 December 1976 (USA)
945,1962 (India)
946,14 December 2005 (USA)
947,Not found
948,7 January 2018 (Brazil)
949,December 1975 (USA)
950,1 October 1934 (UK)
951,Not found
952,11 May 1934 (USA)
953,1 August 1935 (USA)
954,13 March 1959 (UK)
955,Not found
956,28 December 2008 (UK)
957,23 August 1935 (USA)
958,1 February 1935 (USA)
959,25 December 1992 (Sweden)
960,14 November 1937 (USA)
961,4 December 1988 (USA)
962,21 November 1936 (USA)
963,12 November 1937 (USA)
964,30 April 1937 (USA)
965,17 April 1964 (Canada)
966,26 February 1937 (Netherlands)
967,3 March 1939 (USA)
968,2 June 1968 (Sweden)
969,2 September 1935 (Germany)
970,Not found
971,6 February 1963 (USA)
972,12 July 1980 (West Germany)
973,8 February 1948 (UK)
974,Not found
975,4 January 1976 (Netherlands)
976,19 December 1982 (Hungary)
977,15 September 1957 (East Germany)
978,31 August 1956 (West Germany)
979,20 March 1954 (UK)
980,Not found
981,18 April 1975 (USA)
982,11 February 1938 (USA)
983,2 July 1986 (UK)
984,5 September 1939 (USA)
985,21 February 1996 (France)
986,25 January 1962 (Austria)
987,Not found
988,17 September 2019 (USA)
989,12 January 1940 (USA)
990,29 November 1981 (USA)
991,2 October 1992 (USA)
992,31 January 1968 (USA)
993,22 February 2015 (Denmark)
994,7 July 1939 (USA)
995,17 November 1957 (USA)
996,Not found
997,August 2011 (Australia)
998,1 September 1939 (USA)
999,12 September 2008 (USA)
1000,Not found
1001,19 April 1940 (USA)
1002,2 February 1964 (USA)
1003,15 April 1945 (USA)
1004,15 March 1940 (USA)
1005,Not found
1006,24 May 1940 (USA)
1007,30 May 1977 (USA)
1008,24 May 2003 (USA)
1009,29 August 1941 (USA)
1010,16 December 1956 (USA)
1011,2 August 1941 (UK)
1012,10 October 1966 (UK)
1013,27 March 1958 (West Germany)
1014,24 January 1942 (USA)
1015,7 October 2000 (USA)
1016,29 November 1972 (USA)
1017,23 March 1947 (UK)
1018,27 November 1943 (USA)
1019,9 September 1958 (UK)
1020,7 February 1950 (West Germany)
1021,13 July 1953 (UK)
1022,19 December 1997 (USA)
1023,27 November 1987 (Hungary)
1024,April 1915 (Italy)
1025,2 October 2012 (UK)
1026,21 December 2018 (India)
1027,23 September 1944 (USA)
1028,2 April 1969 (USA)
1029,January 1945 (USA)
1030,26 April 1959 (USA)
1031,24 August 1946 (USA)
1032,12 November 1974 (USA)
1033,29 September 1946 (USA)
1034,2021 (UK)
1035,14 May 1945 (UK)
1036,14 January 1956 (USA)
1037,7 December 1966 (USA)
1038,12 May 1946 (USA)
1039,16 November 1948 (UK)
1040,2021 (USA)
1041,2008 (UK)
1042,28 December 1978 (South Africa)
1043,February 1948 (USA)
1044,30 June 1999 (USA)
1045,1999 (UK)
1046,5 June 2018 (UK)
1047,3 December 1947 (USA)
1048,29 January 2002 (USA)
1049,May 1948 (USA)
1050,Not found
1051,2011 (UK)
1052,6 September 1948 (UK)
1053,Not found
1054,10 March 2010 (Philippines)
1055,Not found
1056,Not found
1057,17 January 1948 (USA)
1058,3 December 1976 (USA)
1059,8 May 1981 (India)
1060,22 September 2006 (India)
1061,23 March 2020 (India)
1062,26 April 2013 (India)
1063,25 December 2008 (India)
1064,8 March 2019 (India)
1065,6 June 1950 (USA)
1066,29 October 1999 (UK)
1067,13 March 1958 (UK)
1068,18 December 1949 (UK)
1069,13 January 1948 (UK)
1070,February 1951 (USA)
1071,26 March 1993 (USA)
1072,28 October 1956 (USA)
1073,23 February 1951 (Finland)
1074,8 December 1966 (USA)
1075,16 December 1973 (USA)
1076,27 May 1987 (France)
1077,21 December 1950 (USA)
1078,21 March 1972 (USA)
1079,1996 (USA)
1080,12 February 2021 (USA)
1081,Not found
1082,26 August 2018 (USA)
1083,9 May 1952 (Finland)
1084,15 September 1985 (USA)
1085,Not found
1086,8 May 1966 (USA)
1087,9 January 2000 (USA)
1088,1 December 1951 (West Germany)
1089,4 March 1984 (USA)
1090,29 October 1995 (USA)
1091,31 October 1952 (Finland)
1092,16 November 1976 (USA)
1093,4 November 2002 (USA)
1094,30 September 1965 (West Germany)
1095,18 October 2013 (USA)
1096,13 February 1953 (USA)
1097,31 December 1977 (USA)
1098,Not found
1099,15 August 1952 (Ireland)
1100,29 May 1988 (UK)
1101,14 May 1992 (USA)
1102,Not found
1103,21 June 2002 (USA)
1104,6 September 1938 (UK)
1105,9 June 1946 (UK)
1106,2019 (Switzerland)
1107,27 March 2020 (USA)
1108,2 June 2011 (USA)
1109,18 December 1957 (Australia)
1110,Not found
1111,8 October 2015 (USA)
1112,2 January 1949 (UK)
1113,28 October 2018 (UK)
1114,14 August 1952 (USA)
